id,created_by,created_date,last_modified_by,last_modified_date,type_fee,billing_type,minimum_value,maximum_value,remuneration_factor,availability_type,status,role_type,name
1,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_PRODUCER_CERTIFICATE,UCS,3.0000000000,3.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_PRODUCER_CERTIFICATE FEE
2,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_TRANSFER,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,DELETED,,GENERAL AKSES_TRANSFER FEE
3,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_SALE,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_SALE FEE
4,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_PURCHASE,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_PURCHASE FEE
5,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_CLIENT_CERTIFICATE_ORDER,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,DELETED,,GENERAL AKSES_CLIENT_CERTIFICATE_ORDER FEE
6,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_CERTIFICATE_GENERAL_DISTRIBUTOR,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_CERTIFICATE_GENERAL_DISTRIBUTOR FEE
7,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_CERTIFICATE_FINANCIAL_DISTRIBUTOR,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_CERTIFICATE_FINANCIAL_DISTRIBUTOR FEE
8,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,AKSES_CERTIFICATE_CREDENTIALED_DISTRIBUTOR,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_CERTIFICATE_CREDENTIALED_DISTRIBUTOR FEE
9,,2021-10-10 15:08:12.309574,,2021-10-10 15:08:12.309574,TESOURO_VERDE_CERTIFICATE,MONEY,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL TESOURO_VERDE_CERTIFICATE FEE
10,933,2022-02-21 12:35:32.16004,933,2022-02-21 12:35:32.16004,AKSES_TRANSFER,MONEY,25.9000000000,1300.0000000000,0.0070000000,GENERAL,ACTIVE,,GENERAL AKSES_TRANSFER FEE
11,851,2022-04-04 10:33:23.511755,851,2022-04-04 10:33:23.511755,AKSES_CLIENT_CERTIFICATE_ORDER,UCS,1.0000000000,1.0000000000,0.0000000000,GENERAL,DELETED,,GENERAL AKSES_CLIENT_CERTIFICATE_ORDER FEE
12,918,2022-06-08 14:54:50.760585,918,2022-06-08 14:54:50.760585,AKSES_CLIENT_CERTIFICATE_ORDER,UCS,0.0000000000,0.0000000000,0.0000000000,GENERAL,DELETED,,GENERAL AKSES_CLIENT_CERTIFICATE_ORDER FEE
14,,2022-09-06 18:18:13.633909,,2022-09-06 18:18:13.633909,AKSES_LIVING_CARBON_CERTIFICATE_ORDER,UCS,0.0000000000,0.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_LIVING_CARBON_CERTIFICATE_ORDER FEE
13,933,2022-06-10 13:59:34.143975,933,2022-06-10 13:59:34.143975,AKSES_CLIENT_CERTIFICATE_ORDER,UCS,1.0000000000,1.0000000000,0.0000000000,GENERAL,ACTIVE,,GENERAL AKSES_CLIENT_CERTIFICATE_ORDER FEE
