partner_campaign_certificate_template_id,availability_id
225,274
226,274
227,274
228,274
229,274
230,274
231,274
232,274
233,274
234,274
235,274
236,274
237,274
238,274
239,274
240,274
241,274
242,274
243,274
244,274
245,274
219,274
220,274
221,274
222,274
223,274
224,274
161,430
162,430
163,430
1,430
138,430
139,430
140,430
141,430
142,430
143,430
144,430
145,430
146,430
147,430
148,430
149,430
150,430
151,430
152,430
153,430
154,430
155,430
156,430
157,430
158,430
159,430
160,430
164,431
165,432
166,432
167,432
168,432
169,432
170,432
171,432
172,432
173,432
174,432
175,432
176,432
177,432
178,432
179,432
180,432
181,432
182,432
183,432
184,432
185,432
186,432
187,432
188,432
189,432
190,432
191,432
273,433
274,433
275,433
276,433
277,433
278,433
279,433
280,433
2,275
3,275
4,275
5,275
6,275
7,275
8,275
9,275
10,275
11,275
12,275
13,275
14,275
15,275
16,275
17,275
18,275
19,275
20,275
21,275
22,275
23,275
24,275
25,275
26,275
27,275
28,275
97,276
98,276
99,276
100,276
101,276
102,276
103,276
104,276
105,276
106,276
107,276
108,276
109,276
83,276
84,276
85,276
86,276
87,276
88,276
89,276
90,276
91,276
92,276
93,276
94,276
95,276
96,276
192,277
193,277
194,277
195,277
196,277
197,277
198,277
199,277
200,277
201,277
202,277
203,277
204,277
205,277
206,277
207,277
208,277
209,277
210,277
211,277
212,277
213,277
214,277
215,277
216,277
217,277
218,277
246,278
247,278
248,278
249,278
250,278
251,278
252,278
253,278
254,278
255,278
256,278
257,278
258,278
259,278
281,433
33,434
34,434
35,434
36,434
37,434
260,278
261,278
262,278
263,278
264,278
265,278
266,278
267,278
268,278
269,278
270,278
271,278
272,278
56,279
57,279
58,279
59,279
60,279
61,279
62,279
63,279
64,279
65,279
66,279
67,279
68,279
69,279
38,434
39,434
40,434
41,434
42,434
43,434
44,434
45,434
46,434
47,434
48,434
49,434
50,434
51,434
52,434
53,434
54,434
55,434
29,434
30,434
31,434
289,398
290,398
291,398
292,398
293,398
294,398
295,398
296,398
297,398
298,398
299,398
300,398
301,398
302,398
303,398
304,398
305,398
306,398
307,398
308,398
282,398
283,398
284,398
285,398
286,398
287,398
288,398
32,434
70,279
71,279
72,279
73,279
74,279
75,279
76,279
77,279
78,279
79,279
80,279
81,279
82,279
110,280
