id,platform_id,tag_id,status,created_by,created_date,last_modified_by,last_modified_date
1,1,4,ACTIVE,933,2023-09-05 11:04:58.215916,933,2023-09-05 11:04:58.215916
2,1,3,ACTIVE,933,2023-09-05 11:05:00.395633,933,2023-09-05 11:05:00.395633
3,1,2,ACTIVE,933,2023-09-05 11:05:02.109225,933,2023-09-05 11:05:02.109225
4,2,2,ACTIVE,933,2023-09-05 11:05:05.099455,933,2023-09-05 11:05:05.099455
5,2,3,ACTIVE,933,2023-09-05 11:05:07.053153,933,2023-09-05 11:05:07.053153
6,5,2,ACTIVE,933,2023-09-05 11:05:12.707114,933,2023-09-05 11:05:12.707114
7,5,3,ACTIVE,933,2023-09-05 11:05:14.278194,933,2023-09-05 11:05:14.278194
8,4,2,ACTIVE,933,2023-09-05 11:05:21.144843,933,2023-09-05 11:05:21.144843
9,4,3,ACTIVE,933,2023-09-05 11:05:22.774234,933,2023-09-05 11:05:22.774234
10,3,2,ACTIVE,933,2023-09-05 11:05:27.174793,933,2023-09-05 11:05:27.174793
11,3,3,ACTIVE,933,2023-09-05 11:05:28.735427,933,2023-09-05 11:05:28.735427
12,4,1,ACTIVE,933,2023-09-05 11:05:30.769335,933,2023-09-05 11:05:30.769335
13,3,1,ACTIVE,933,2023-09-05 11:05:32.36815,933,2023-09-05 11:05:32.36815
14,3,5,ACTIVE,933,2023-09-05 11:05:39.777901,933,2023-09-05 11:05:39.777901
15,7,3,ACTIVE,933,2023-09-05 11:05:41.768156,933,2023-09-05 11:05:41.768156
16,7,5,ACTIVE,933,2023-09-05 11:05:49.321437,933,2023-09-05 11:05:49.321437
17,8,2,ACTIVE,933,2023-09-16 17:58:57.157515,933,2023-09-16 17:58:57.157515
18,8,3,ACTIVE,933,2023-09-16 17:58:58.863547,933,2023-09-16 17:58:58.863547
