id,created_by,created_date,last_modified_by,last_modified_date,composition_id,remittance_id,error_code
1,890,2022-09-26 09:59:33.728041,890,2022-09-26 09:59:33.728041,6,1,UNKNOWN_ERROR
8,933,2022-10-03 17:46:40.27636,933,2022-10-03 17:46:40.27636,14,10,UNKNOWN_ERROR
9,933,2022-10-03 17:46:40.285745,933,2022-10-03 17:46:40.285745,13,10,UNKNOWN_ERROR
10,933,2022-10-03 17:46:40.294246,933,2022-10-03 17:46:40.294246,15,10,UNKNOWN_ERROR
11,933,2022-10-27 09:42:43.614579,933,2022-10-27 09:42:43.614579,40,34,CD
12,890,2022-11-10 17:49:41.036795,890,2022-11-10 17:49:41.036795,87,87,H4
13,890,2022-11-21 14:23:31.376677,890,2022-11-21 14:23:31.376677,99,98,YA
14,890,2022-11-29 14:27:06.03149,890,2022-11-29 14:27:06.03149,114,110,ZI
15,890,2022-12-06 12:45:54.417988,890,2022-12-06 12:45:54.417988,132,127,ZI
16,890,2022-12-08 11:41:29.70133,890,2022-12-08 11:41:29.70133,120,120,UNKNOWN_ERROR
17,890,2022-12-08 11:41:29.71241,890,2022-12-08 11:41:29.71241,123,120,UNKNOWN_ERROR
18,890,2022-12-08 11:41:29.720443,890,2022-12-08 11:41:29.720443,122,120,UNKNOWN_ERROR
19,890,2022-12-08 11:41:29.727768,890,2022-12-08 11:41:29.727768,121,120,UNKNOWN_ERROR
20,890,2022-12-08 14:36:36.68947,890,2022-12-08 14:36:36.68947,170,131,AN
21,890,2022-12-08 14:36:36.715572,890,2022-12-08 14:36:36.715572,142,131,AT
22,890,2022-12-08 14:36:36.739718,890,2022-12-08 14:36:36.739718,161,131,AL
23,890,2022-12-08 14:36:36.7415,890,2022-12-08 14:36:36.7415,161,131,AN
24,890,2022-12-08 15:03:06.094235,890,2022-12-08 15:03:06.094235,167,131,H4
25,890,2022-12-08 15:03:06.134269,890,2022-12-08 15:03:06.134269,166,131,H4
26,890,2022-12-08 15:03:06.158005,890,2022-12-08 15:03:06.158005,150,131,H4
27,890,2022-12-08 15:03:06.181841,890,2022-12-08 15:03:06.181841,140,131,H4
28,890,2022-12-08 15:03:06.207434,890,2022-12-08 15:03:06.207434,165,131,H4
29,890,2022-12-08 15:03:06.231282,890,2022-12-08 15:03:06.231282,139,131,H4
30,890,2022-12-12 17:18:55.788485,890,2022-12-12 17:18:55.788485,167,136,H4
31,890,2022-12-12 17:18:55.818703,890,2022-12-12 17:18:55.818703,150,136,H4
32,890,2022-12-12 17:18:55.847378,890,2022-12-12 17:18:55.847378,166,136,H4
33,890,2022-12-12 17:18:55.875942,890,2022-12-12 17:18:55.875942,140,136,H4
34,890,2022-12-12 17:18:55.911647,890,2022-12-12 17:18:55.911647,203,136,H4
35,890,2022-12-13 12:24:30.671589,890,2022-12-13 12:24:30.671589,206,138,ZI
36,890,2022-12-13 12:24:30.680987,890,2022-12-13 12:24:30.680987,205,138,ZI
38,890,2022-12-13 14:15:45.659488,890,2022-12-13 14:15:45.659488,206,142,ZI
39,890,2022-12-13 14:15:45.669958,890,2022-12-13 14:15:45.669958,205,142,ZI
41,890,2022-12-15 12:33:09.132427,890,2022-12-15 12:33:09.132427,229,148,YA
42,890,2022-12-23 12:02:20.571423,890,2022-12-23 12:02:20.571423,237,179,CD
44,890,2023-01-10 16:15:32.00436,890,2023-01-10 16:15:32.00436,269,202,H4
45,890,2023-01-10 16:15:32.038533,890,2023-01-10 16:15:32.038533,265,202,H4
46,890,2023-01-19 12:07:57.921985,890,2023-01-19 12:07:57.921985,87,217,H4
47,890,2023-01-19 12:07:57.959217,890,2023-01-19 12:07:57.959217,139,217,H4
48,890,2023-01-19 12:08:10.826476,890,2023-01-19 12:08:10.826476,281,218,H4
49,890,2023-01-19 14:56:26.109805,890,2023-01-19 14:56:26.109805,87,220,H4
50,890,2023-01-19 14:56:26.156047,890,2023-01-19 14:56:26.156047,281,220,H4
51,890,2023-01-19 14:56:26.184975,890,2023-01-19 14:56:26.184975,139,220,H4
52,1406,2023-02-01 11:54:02.977493,1406,2023-02-01 11:54:02.977493,304,242,UNKNOWN_ERROR
54,1406,2023-02-13 09:50:32.600906,1406,2023-02-13 09:50:32.600906,311,249,AN
55,1406,2023-02-13 09:52:21.178567,1406,2023-02-13 09:52:21.178567,324,249,H4
57,1406,2023-02-27 14:08:24.542896,1406,2023-02-27 14:08:24.542896,381,285,CD
58,1406,2023-04-10 16:33:42.011699,1406,2023-04-10 16:33:42.011699,499,355,AN
59,1406,2023-04-10 16:56:19.432632,1406,2023-04-10 16:56:19.432632,500,355,H4
60,1406,2023-04-10 16:56:19.496001,1406,2023-04-10 16:56:19.496001,486,355,H4
